State,Job Seq No.,Batch/Job No.,HPA MIPS No.,Job Name,Form Name,Ctl Docs,Extractions,Lodge QTY,Date,Time,Aust Post Lodgement No,Outstanding
VIC,M08.10,44737,998613,M#BLP1A1,CUST-ACCT,6828,0,6828,12-07-07,07:29,1294755,0
VIC,M08.26,44740,998561,M#BLP1B1,BLAOMR,13676,0,13670,12-07-07,07:26,1294752,6
VIC,M08.31,44743,999172,M#BLP2A5,BLASU19,6760,0,6760,12-07-07,10:09,1295159,0
VIC,M08.32,44744,999152,M#BLP2A6,ITC,327,0,327,12-07-07,12:03,1295781,0
VIC,M08.33,44745,999157,M#BLP2B1,CAI,304,0,304,12-07-07,15:11,1297211,0
VIC,M08.34,44746,999143,M#BLP2B2,SU19YELLOW,5,0,5,12-07-07,10:15,1295157,0
VIC,M08.42,44750,999144,M#BLP2C2,COLSU19,55,0,55,12-07-07,10:10,1295153,0
VIC,M08.44,44751,999166,M#BL02H1,CALLCAT3,537,0,537,12-07-07,14:20,1296647,0
VIC,M08.45,44752,999148,M#BL02C1,BLASTOLA,646,0,646,12-07-07,11:57,1295769,0
VIC,M08.46,H28291,999140,M#PYCH39,SS360,95,0,95,12-07-07,10:16,1295158,0
VIC,M08.47,H28781,999175,M#TXDA2,TXDA,240,0,240,12-07-07,11:59,1295771,0
VIC,P08.31,44077,999178,P#BLP2A6,ITC,212,0,212,12-07-07,11:40,1295646,0
VIC,P08.32,44078,999179,P#BLP2B1,CAI,271,0,271,12-07-07,15:12,1297213,0
VIC,P08.43,44084,999180,P#BL02H1,CALLCAT3,470,0,470,12-07-07,13:22,1296201,0
VIC,R08.31,43854,999155,R#BLP2A6,ITC,201,0,201,12-07-07,14:19,1296644,0
VIC,R08.32,43855,999153,R#BLP2B1,CAI,280,0,280,12-07-07,14:38,1296896,0
VIC,R08.43,43861,999163,R#BL02H1,CALLCAT3,400,0,400,12-07-07,14:13,1296635,0
VIC,S08.1009,44807,999151,S#BLP2A6,ITC,372,0,372,12-07-07,11:41,1295647,0
VIC,S08.1010,44808,999156,S#BLP2B1,CAI,316,0,316,12-07-07,15:04,1297058,0
VIC,S08.1021,44815,999165,S#BL02H1,CALLCAT3,654,0,654,12-07-07,11:37,1295515,0
WA,B08.59,H28691,94146,B#PYND03,TPO,692,0,692,12-07-07,13:23,1296221,0
WA,B09.1,H28811,94170,B#COSM3,COSM3,2,0,2,12-07-07,13:19,1296220,0
WA,P08.9,44068,94102,P#BLP1A1,CUST-ACCT,5179,0,5179,12-07-07,16:06,1297776,0
WA,P08.25,44073,94105,P#BLP1B1,BLAOMR,13858,0,13858,12-07-07,15:47,1297613,0
WA,P08.30,44076,94143,P#BLP2A5,BLASU19,4672,0,4672,12-07-07,13:43,1296397,0
WA,P08.33,44079,94140,P#BLP2B2,SU19YELLOW,9,0,9,12-07-07,16:48,1298222,0
WA,P08.41,44083,94141,P#BLP2C2,COLSU19,35,0,35,12-07-07,13:33,1296297,0
WA,P08.44,44085,94144,P#BL02C1,BLASTOLA,604,0,604,12-07-07,13:15,1296219,0
WA,P08.45,H28671,94142,P#PYCH39,SS360,215,0,215,12-07-07,13:29,1296295,0
WA,P08.46,H28741,94145,P#TXDA2,TXDA,216,0,216,12-07-07,13:26,1296222,0
WA,P09.21,44092,94172,P#BLP1R1,FTBNONLODGE,1,0,1,12-07-07,14:32,1296778,0
WA,P09.29,44096,94173,P#BLP1A2,COLBECK,518,0,518,12-07-07,13:36,1296298,0
NSW,CONSOLIDATED,CONSOLIDATED,304308,Versamark,CONSOLIDATED,3766,0,3764,12-07-07,07:49,1294802,0
NSW,CONSOLIDATED,CONSOLIDATED,304308,Versamark,CONSOLIDATED,3766,0,2,12-07-07,12:57,1296148,0
